q0,Ar,x/d0,y/d0,,
22.92616151,0.33,25.30258621,28.33017241,,
22.92616151,0.33,25.82155172,28.58965517,,
22.92616151,0.33,26.40517241,28.97844828,,
22.92616151,0.33,26.98965517,29.20603448,,
22.92616151,0.33,27.47586207,29.46551724,,
22.92616151,0.33,28.02758621,29.75775862,,
22.92616151,0.33,28.64396552,30.14655172,,
22.92616151,0.33,29.35689655,30.50344828,,
22.92616151,0.33,29.97327586,30.86034483,,
22.92616151,0.33,30.47068966,31.16293103,,
22.92616151,0.33,31.11982759,31.55258621,,
22.92616151,0.33,31.82241379,31.96293103,,
22.92616151,0.33,32.4387931,32.31982759,,
22.92616151,0.33,33.05517241,32.64482759,,
22.92616151,0.33,33.80172414,33.03362069,,
22.92616151,0.33,34.38534483,33.32586207,,
22.92616151,0.33,35.00172414,33.65,,
22.92616151,0.33,35.58534483,33.94224138,,
22.92616151,0.33,36.16982759,34.26637931,,
22.92616151,0.33,36.7862069,34.55862069,,
22.92616151,0.33,37.47758621,34.94741379,,
22.92616151,0.33,38.12672414,35.22844828,,
22.92616151,0.33,38.71034483,35.55344828,,
22.92616151,0.33,39.31637931,35.74741379,,
22.92616151,0.33,40.03017241,36.01810345,,
22.92616151,0.33,40.74310345,36.375,,
22.92616151,0.33,41.32758621,36.67758621,,
22.92616151,0.33,42.01982759,36.93706897,,
22.92616151,0.33,42.625,37.19655172,,
22.92616151,0.33,43.14396552,37.47758621,,
22.92616151,0.33,43.8362069,37.91034483,,
22.92616151,0.33,44.44137931,38.16982759,,
22.92616151,0.33,45.21982759,38.51637931,,
22.92616151,0.33,45.82586207,38.94827586,,
22.92616151,0.33,46.77758621,39.29482759,,
7.630749024,0.33,0,0,,
7.630749024,0.33,0.042241379,0.223275862,,
7.630749024,0.33,0.106034483,0.467241379,,
7.630749024,0.33,0.181034483,0.65862069,,
7.630749024,0.33,0.243965517,0.838793103,,
7.630749024,0.33,0.339655172,1.018965517,,
7.630749024,0.33,0.445689655,1.220689655,,
7.630749024,0.33,0.525862069,1.385344828,,
7.630749024,0.33,0.589655172,1.560344828,,
7.630749024,0.33,0.679310345,1.730172414,,
7.630749024,0.33,0.775,1.9,,
7.630749024,0.33,0.881034483,2.069827586,,
7.630749024,0.33,0.976724138,2.250862069,,
7.630749024,0.33,1.082758621,2.420689655,,
7.630749024,0.33,1.178448276,2.600862069,,
7.630749024,0.33,1.306034483,2.770689655,,
7.630749024,0.33,1.43362069,2.940517241,,
7.630749024,0.33,1.561206897,3.121551724,,
7.630749024,0.33,1.677586207,3.280172414,,
7.630749024,0.33,1.78362069,3.407758621,,
7.630749024,0.33,1.887068966,3.535344828,,
7.630749024,0.33,2.022413793,3.670689655,,
7.630749024,0.33,2.165517241,3.789655172,,
7.630749024,0.33,2.309482759,3.94137931,,
7.630749024,0.33,2.460344828,4.061206897,,
7.630749024,0.33,2.587931034,4.187931034,,
7.630749024,0.33,2.707758621,4.275862069,,
7.630749024,0.33,2.834482759,4.387068966,,
7.630749024,0.33,2.962068966,4.475,,
7.630749024,0.33,3.105172414,4.586206897,,
7.630749024,0.33,3.237931034,4.681896552,,
7.630749024,0.33,3.365517241,4.777586207,,
7.630749024,0.33,3.493103448,4.873275862,,
7.630749024,0.33,3.609482759,4.979310345,,
7.630749024,0.33,3.768965517,5.085344828,,
7.630749024,0.33,3.917241379,5.212931034,,
7.630749024,0.33,4.068965517,5.311206897,,
7.630749024,0.33,4.228448276,5.406034483,,
7.630749024,0.33,4.363793103,5.478448276,,
7.630749024,0.33,4.490517241,5.557758621,,
7.630749024,0.33,4.618103448,5.637068966,,
7.630749024,0.33,4.745689655,5.700862069,,
7.630749024,0.33,4.888793103,5.781034483,,
7.630749024,0.33,5.01637931,5.860344828,,
7.630749024,0.33,5.159482759,5.944827586,,
7.630749024,0.33,5.329310345,6.030172414,,
7.630749024,0.33,5.499137931,6.125862069,,
7.630749024,0.33,5.690517241,6.221551724,,
7.630749024,0.33,5.881896552,6.327586207,,
7.630749024,0.33,6.093965517,6.412068966,,
7.630749024,0.33,6.306034483,6.487068966,,
7.630749024,0.33,6.487068966,6.581896552,,
7.630749024,0.33,6.709482759,6.656896552,,
7.630749024,0.33,6.890517241,6.74137931,,
7.630749024,0.33,7.124137931,6.815517241,,
7.630749024,0.33,7.368103448,6.921551724,,
7.630749024,0.33,7.643965517,7.017241379,,
7.630749024,0.33,7.856034483,7.112931034,,
7.630749024,0.33,8.089655172,7.187068966,,
7.630749024,0.33,8.312931034,7.272413793,,
7.630749024,0.33,8.525,7.336206897,,
7.630749024,0.33,8.748275862,7.431896552,,
7.630749024,0.33,8.970689655,7.494827586,,
